Points:0,Points:1,Points:2,total_traction:0,total_traction:1,total_traction:2
0.099818,-0.021023,0.73844,-48516.0,10426.0,246.97
0.10044,-0.018225,0.74755,-48768.0,9169.9,405.87
0.10161,-0.0098318,0.74021,-49366.0,5054.2,287.76
-0.090526,-0.041008,-0.45781,47458.0,20838.0,-1155.6
0.041227,-0.0062012,0.055091,-36625.0,-32883.0,3267.2
0.041815,-0.0058176,0.064745,-36914.0,-32419.0,4067.5
0.034352,0.00076686,0.060185,-30281.0,-38660.0,4238.2
-0.059786,0.080074,3.3798,29307.0,-39020.0,69.852
-0.064197,0.076573,3.37,31417.0,-37348.0,-42.449
-0.055382,0.083229,3.3725,27335.0,-40430.0,-34.413
0.10023,-0.021318,1.8958,-48206.0,10483.0,-169.09
0.10207,-0.0099846,1.8978,-49063.0,5145.3,-113.92
0.10119,-0.016492,1.8886,-48656.0,8157.4,-195.34
-0.029914,0.10088,-1.0061,14979.0,-49844.0,103.6
-0.03852,0.097842,-1.0101,19483.0,-48262.0,168.07
-0.029894,0.10086,-1.0171,15039.0,-49829.0,35.1
0.097975,0.033294,1.3109,-46886.0,-15940.0,-2.9444
0.10099,-0.027227,-1.0883,-50200.0,13821.0,234.58
0.10091,-0.02769,-1.0786,-50156.0,13968.0,282.97
0.10311,-0.018067,-1.0825,-51215.0,9379.7,233.27
-0.07413,-0.029459,0.23231,48743.0,3720.8,7205.2
-0.075421,-0.031065,0.24206,48583.0,5567.7,7169.3
-0.073292,-0.0396,0.23683,47901.0,10374.0,6298.8
0.090469,-0.053045,-0.99921,-44990.0,26162.0,111.98
0.10365,-0.00037438,1.2843,-49527.0,366.96,49.772
0.10365,-1.0316e-05,1.2746,-49532.0,99.809,-127.41
0.10313,-0.010131,1.2795,-49275.0,5018.7,-60.308
-0.076929,0.063674,3.4826,37507.0,-31161.0,-106.18
-0.084142,0.053877,3.4838,40854.0,-26622.0,-67.765
-0.080938,0.058555,3.4766,39411.0,-28719.0,-392.04
0.094753,-0.044893,-0.99919,-47081.0,22179.0,103.3
-0.051554,0.089253,1.7271,25054.0,-42563.0,-39.706
-0.0061893,0.099949,-1.9898,2910.9,-52334.0,383.35
0.0038679,0.09997,-1.9843,-2374.0,-52346.0,93.857
-0.0043672,0.10003,-1.9796,1847.9,-52362.0,40.489
-0.058263,-0.0018967,0.1723,43228.0,-21776.0,9536.6
-0.05782,0.0030951,0.18206,41673.0,-24367.0,10235.0
-0.061987,-0.0052674,0.18256,44983.0,-17948.0,9453.2
-0.10042,-0.01426,2.4271,48711.0,6545.1,-195.49
-0.10122,-0.0052528,2.4337,49080.0,2545.8,-101.67
-0.10011,-0.016336,2.4364,48568.0,7508.7,-26.241
-0.095849,-0.034145,2.3617,46397.0,16281.0,105.85
0.10134,0.00033508,2.5526,-49103.0,-216.01,-235.47
-0.054656,0.083772,3.3206,27001.0,-40676.0,-12.764
-0.063292,0.077371,3.3217,31012.0,-37707.0,-2.8761
-0.058492,0.08111,3.3122,28793.0,-39433.0,-65.079
-0.071757,0.074413,1.5446,34240.0,-35677.0,-91.997
-0.07609,0.070013,1.5388,36317.0,-33564.0,-54.318
-0.069066,0.076949,1.5332,33256.0,-36600.0,31.517
0.10256,0.0093717,0.91047,-49375.0,-4861.3,212.3
0.10183,0.015322,0.92062,-49006.0,-7732.4,219.56
0.10101,0.019826,0.91199,-48616.0,-9899.6,205.03
0.1007,-0.008438,2.7275,-48852.0,4295.6,-204.33
0.099233,-0.018758,2.7307,-48141.0,9342.0,-104.09
0.10063,-0.0090257,2.7365,-48816.0,4648.2,10.216
-0.039849,0.097263,-1.0195,20082.0,-48020.0,-11.378
-0.089869,-0.047967,2.3204,43315.0,23305.0,-176.35
-0.093781,-0.039803,2.3171,45325.0,19104.0,-48.615
-0.093566,-0.040254,2.3276,45096.0,19632.0,-115.38
